filename,x,y
3768023846813315852.jpg,-4.2340746,2.6256871
3769912303064748469.jpg,-4.167666,-0.7830105
3770184525322923867.jpg,-3.6120527,-1.060072
3770763741089279176.jpg,-8.182393,-2.4121375
3770793757609085618.jpg,-8.553228,-2.6414838
3770881192649098752.jpg,-5.740871,3.5626676
3772962449402898991.jpg,-1.9024471,-1.4871885
3773219640592577163.jpg,-1.190526,-2.4002402
3773879191130099323.jpg,-2.2461097,-2.3940709
3773908122373751900.jpg,-1.9262807,-2.0159438
3774316544411870938.jpg,-9.960184,-2.4377646
3774505695383989357.jpg,-1.5925051,-2.6912127
3775179289868940338.jpg,-6.674333,-1.8801404
3775236704689817208.jpg,-5.9438257,3.2987342
3775828443599222367.jpg,-3.695216,-0.039601695
3778626510480253105.jpg,-8.274985,-1.6703637
3778790779700163977.jpg,-6.664008,-3.4423277
3780943520111317752.jpg,-10.247773,-2.650005
3781068415445010218.jpg,-9.285561,-5.036206
3782996726542769467.jpg,-10.034498,-3.4621658
3783656639090394567.jpg,-9.833633,-0.6084902
3783922481359504185.jpg,-4.367371,0.023887688
3783985063067971320.jpg,-7.8849244,-1.1187693
3784035603071942566.jpg,-1.8601805,-0.6517185
3785171426383499630.jpg,-3.479746,-0.07221379
3785949361788987127.jpg,-5.7914658,-1.8892525
3788195765562673883.jpg,-7.926886,-1.2055428
3789734223150871170.jpg,-7.7477756,-3.1095238
3791120809436399902.jpg,-7.543323,-1.8805556
3791804871905788380.jpg,-10.705804,-4.6000514
3792329600257278998.jpg,-8.561066,-4.501105
3792606076706015432.jpg,-4.1822653,-2.7689073
3792661508359364632.jpg,-9.020726,-2.5924134
3793209298327342070.jpg,-3.6012776,10.866955
3793335726780454007.jpg,-4.9222574,-3.5576086
3794057512677551195.jpg,-1.5085033,-1.0313306
3794946547537175100.jpg,-5.708296,-3.0634532
3796133140792883084.jpg,-6.556938,-5.0414796
3798965939883238042.jpg,-4.9161983,-2.4682333
3799135532346043589.jpg,-3.6058588,-3.2569242
3799725039357274351.jpg,-6.5209975,-2.4173453
3801787860534470736.jpg,-5.634338,-2.63489
3803498899798015485.jpg,-6.4667673,-5.284591
3806111129626240115.jpg,-0.8974012,2.001403
3806230988196419324.jpg,-5.664109,0.93942446
3806368694839080963.jpg,-3.556654,-0.22653615
3807181630091591866.jpg,-11.126486,-4.0043764
3807762992587234590.jpg,-11.585647,-3.7512546
3808363409822726567.jpg,-3.6081195,-2.0931194
3810019076446404901.jpg,-6.332287,-5.448988
3810096938994144469.jpg,-9.777579,-2.7800038
3810753431691118982.jpg,-9.0333395,-1.4215288
3811951339945875064.jpg,-7.442965,-2.8276463
3812904763126491443.jpg,-8.422036,-2.072533
3813567583744740241.jpg,-6.241398,-1.954076
3815074180098711756.jpg,-7.552568,-3.8862073
3816318262447973996.jpg,-8.883759,-0.8581047
3816526265432445014.jpg,-2.8723369,-2.5703323
3817270894809389001.jpg,-5.278876,0.72613806
3818714350261957813.jpg,-6.054638,-4.3287973
3820046519823559336.jpg,-3.7160428,0.62347
3820078484068792697.jpg,-4.6734366,0.6674682
3820151934989231237.jpg,-1.9850007,-1.9655186
3821333093995562121.jpg,-5.6657577,-0.77412826
3821456479069157984.jpg,-4.481766,-1.5300783
3821491369848344784.jpg,-6.3803177,-3.1446598
3821720818384910574.jpg,-4.7192163,-3.9248981
3822353714959415700.jpg,-8.9762745,-5.5825653
3822357698994548715.jpg,-2.0841827,-1.7357255
3822435944851110729.jpg,-6.0061975,-5.3790298
3823807399849677105.jpg,-9.598987,-5.3560376
3824331842887901848.jpg,-6.541652,-4.106265
3824482289661516739.jpg,-8.813027,-1.8886883
3824904502814441925.jpg,-3.945586,-3.6796734
3825066944240686190.jpg,-7.562695,-4.3722916
